CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0-2000-0-86872,CAMPOS DO JORDAO,N,0.0,Operante,Automatica,-22.75027777,0-76-0-3509700000000019,7,1662.95,SP,A706,-45.60388888,2002-03-12
0-2000-0-86855,CAMPOS DOS GOYTACAZES,N,0.0,Operante,Automatica,-21.71472222,0-76-0-3301009000000109,6,17.0,RJ,A607,-41.34388888,2006-09-24
0-2000-0-86890,CAMPOS DOS GOYTACAZES - SAO TOME,N,0.0,Operante,Automatica,-22.04166666,0-76-0-3301009000000382,6,7.0,RJ,A620,-41.05166666,2008-06-12
0-2000-0-81902,CAMPOS LINDOS,N,0.0,Pane,Automatica,-8.15472222,0-76-0-1703842000000487,10,426.56,TO,A043,-46.63944444,2012-10-28
0-2000-0-84826,CAMPOS NOVOS,N,0.0,Operante,Automatica,-27.3886111,0-76-0-4203600000000587,8,963.0,SC,A898,-51.21583333,2019-02-14
0-2000-0-81909,CAMPOS SALES,N,0.0,Operante,Automatica,-7.07777777,0-76-0-2302701000000307,3,577.95,CE,A347,-40.36277777,2008-03-06
0-2000-0-86980,CANELA,N,0.0,Operante,Automatica,-29.36888888,0-76-0-4304408000000415,8,830.93,RS,A879,-50.82722221,2008-08-22
0-2000-0-86993,CANGUCU,N,0.0,Operante,Automatica,-31.40333333,0-76-0-4304507000000171,8,446.81,RS,A811,-52.70083333,2007-01-23
0-2000-0-81847,CANTO DO BURITI,N,0.0,Operante,Automatica,-8.11805554,0-76-0-2202307000000459,3,312.07,PI,A365,-42.97583332,2010-06-11
0-2000-0-84829,CAPAO DO LEAO (PELOTAS),N,0.0,Operante,Automatica,-31.8025,0-76-0-4304663000000595,8,13.0,RS,A887,-52.40722222,2019-07-17
0-2000-0-86761,CAPELINHA,N,0.0,Operante,Automatica,-17.70555555,0-76-0-3112307000000248,5,932.06,MG,A541,-42.38916666,2007-08-30
0-2000-0-81684,CAPITAO POCO,N,0.0,Operante,Automatica,-1.73472221,0-76-0-1502301000000473,2,79.1,PA,A248,-47.0575,2011-04-17
0-2000-0-81988,CARACOL,N,0.0,Operante,Automatica,-9.28583333,0-76-0-2202505000000268,3,515.3,PI,A337,-43.32444443,2007-11-09
0-2000-0-86802,CARATINGA,N,0.0,Operante,Automatica,-19.73583333,0-76-0-3113404000000193,5,609.25,MG,A554,-42.13722221,2007-05-23
0-2000-0-86764,CARAVELAS,N,0.0,Operante,Automatica,-17.73944444,0-76-0-2906907000000039,4,6.05,BA,A405,-39.25861111,2002-12-19
0-2000-0-81978,CARLINDA,N,0.0,Operante,Automatica,-9.97055554,0-76-0-5102793000000330,9,293.71,MT,A926,-55.82749999,2008-04-08
0-2000-0-84824,CARMO,N,0.0,Operante,Automatica,-21.9386111,0-76-0-3301207000000583,6,293.0,RJ,A629,-42.60083333,2018-10-10
0-2000-0-81901,CAROLINA,N,0.0,Pane,Automatica,-7.33722221,0-76-0-2102804000000279,2,182.88,MA,A205,-47.45972222,2007-12-03
0-2000-0-81956,CARUARU,N,0.0,Operante,Automatica,-8.36527777,0-76-0-2604106000000276,3,852.0,PE,A341,-36.02833332,2007-11-20
0-2000-0-86844,CASA BRANCA,N,0.0,Operante,Automatica,-21.78055554,0-76-0-3510807000000216,7,734.15,SP,A738,-47.07527777,2007-06-24
0-2000-0-86791,CASSILANDIA,N,0.0,Operante,Automatica,-19.12249999,0-76-0-5002902000000308,7,494.72,MS,A742,-51.72083332,2008-03-07
0-2000-0-81682,CASTANHAL,N,0.0,Operante,Automatica,-1.30083333,0-76-0-1502400000000044,2,47.13,PA,A202,-47.94805555,2003-01-23
0-2000-0-81829,CASTELO DO PIAUI,N,0.0,Operante,Automatica,-5.34916666,0-76-0-2202604000000445,3,268.75,PI,A361,-41.51222222,2009-04-19
0-2000-0-86921,CASTRO,N,0.0,Operante,Automatica,-24.77999999,0-76-0-4104907000000081,8,1016.0,PR,A819,-50.04638888,2006-07-08
0-2000-0-86777,CATALAO,N,0.0,Operante,Automatica,-18.154779,0-76-0-5205109000000286,10,900.72,GO,A034,-47.927614,2008-01-30
0-2000-0-81792,CAXIAS,N,0.0,Operante,Automatica,-4.82138888,0-76-0-2103000000000399,2,84.85,MA,A237,-43.3436111,2008-07-12
0-2000-0-86719,CHAPADA GAUCHA,N,0.0,Operante,Automatica,-15.30027777,0-76-0-3116159000000215,5,873.2,MG,A548,-45.61749999,2007-06-21
0-2000-0-86772,CHAPADAO DO SUL,N,0.0,Operante,Automatica,-18.80222222,0-76-0-5002951000000163,7,820.82,MS,A730,-52.6025,2006-12-19
0-2000-0-81749,CHAPADINHA,N,0.0,Operante,Automatica,-3.74277777,0-76-0-2103208000000430,2,104.0,MA,A206,-43.35222222,2008-09-16
0-2000-0-84827,CHAPECO,N,0.0,Operante,Automatica,-27.0853111,0-76-0-4204202000000588,8,679.0,SC,A895,-52.6357111,2019-02-18
0-2000-0-86898,CIDADE GAUCHA,N,0.0,Operante,Automatica,-23.35916666,0-76-0-4105607000000314,8,365.79,PR,A869,-52.93194443,2008-03-10
0-2000-0-86939,CLEVELANDIA,N,0.0,Operante,Automatica,-26.41722221,0-76-0-4105706000000364,8,966.06,PR,A876,-52.3486111,2008-05-14
0-2000-0-81770,COARI,N,0.0,Operante,Automatica,-4.09749999,0-76-0-1301209000000335,1,33.84,AM,A117,-63.14527777,2008-04-11
0-2000-0-81866,COLINAS,N,0.0,Operante,Automatica,-6.03305554,0-76-0-2103505000000374,2,175.37,MA,A222,-44.23333333,2008-06-02
0-2000-0-81939,COLINAS DO TOCANTINS,N,0.0,Operante,Automatica,-8.092708,0-76-0-1705508000000530,10,200.0,TO,A049,-48.478605,2016-11-10
0-2000-0-86928,COLOMBO,N,0.0,Operante,Automatica,-25.322464,0-76-0-4105805000000516,8,950.0,PR,B806,-49.157733,2016-05-31
0-2000-0-86661,COMODORO,N,0.0,Operante,Automatica,-13.70805555,0-76-0-5103304000000149,9,576.87,MT,A913,-59.7625,2006-11-27
0-2000-0-86794,CONCEICAO DAS ALAGOAS,N,0.0,Operante,Automatica,-19.98586,0-76-0-3117306000000087,5,572.54,MG,A520,-48.151574,2006-07-17
0-2000-0-81940,CONCEICAO DO ARAGUAIA,N,0.0,Operante,Automatica,-8.30361111,0-76-0-1502707000000419,2,175.74,PA,A241,-49.28277777,2008-09-03
0-2000-0-86639,CONDE,N,0.0,Operante,Automatica,-12.03583333,0-76-0-2908606000000329,4,31.9,BA,A431,-37.68388888,2008-04-06
0-2000-0-86822,CORONEL PACHECO,N,0.0,Operante,Automatica,-21.54666666,0-76-0-3119609000000485,5,411.14,MG,A557,-43.26111111,2012-10-16
0-2000-0-86617,CORRENTE,N,0.0,Operante,Automatica,-10.42916666,0-76-0-2202901000000579,3,452.0,PI,A374,-45.17305554,2018-03-27
0-2000-0-86671,CORRENTINA,N,0.0,Operante,Automatica,-13.33249999,0-76-0-2909307000000266,4,551.71,BA,A416,-44.61749999,2007-11-08
0-2000-0-86767,CORUMBA,N,0.0,Operante,Automatica,-18.99666666,0-76-0-5003207000000126,7,111.73,MS,A724,-57.63749999,2006-10-25
0-2000-0-86619,CORURIPE,N,0.0,Operante,Automatica,-10.1286111,0-76-0-2702306000000422,3,82.39,AL,A355,-36.28638888,2008-09-05
